Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 129.0.0.0,,,04-10-2024 08:22:17,04-10-2024 08:25:34,3m - 16.503s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 129.0.0.0,,,04-10-2024 08:22:18,04-10-2024 08:25:00,2m - 42.802s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 08:22:26,04-10-2024 08:24:56,2m - 30.365s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:24:56,04-10-2024 08:24:58,2.136s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:25:00,04-10-2024 08:25:00,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 129.0.0.0,,,04-10-2024 08:25:00,04-10-2024 08:25:34,33.245s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 08:25:01,04-10-2024 08:25:29,28.605s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:25:29,04-10-2024 08:25:32,2.305s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:25:34,04-10-2024 08:25:34,0.000s,PASSED
