Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,Chrome 129.0.0.0,,,04-10-2024 11:07:54,04-10-2024 11:10:44,2m - 49.746s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,Chrome 129.0.0.0,,,04-10-2024 11:07:55,04-10-2024 11:08:51,56.181s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:03,04-10-2024 11:08:43,40.936s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 11:08:43,04-10-2024 11:08:46,2.828s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:08:46,04-10-2024 11:08:49,2.329s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:08:51,04-10-2024 11:08:51,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,Chrome 129.0.0.0,,,04-10-2024 11:08:51,04-10-2024 11:09:28,37.520s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:52,04-10-2024 11:09:24,31.967s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:09:24,04-10-2024 11:09:24,0.047s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:09:24,04-10-2024 11:09:26,2.479s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:09:28,04-10-2024 11:09:28,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,Chrome 129.0.0.0,,,04-10-2024 11:09:28,04-10-2024 11:10:14,45.998s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:09:30,04-10-2024 11:10:06,35.996s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 11:10:06,04-10-2024 11:10:09,3.162s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:10:09,04-10-2024 11:10:12,3.189s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:10:14,04-10-2024 11:10:14,0.002s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,Chrome 129.0.0.0,,,04-10-2024 11:10:14,04-10-2024 11:10:44,29.698s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:10:15,04-10-2024 11:10:38,22.596s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 11:10:38,04-10-2024 11:10:40,1.974s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:10:40,04-10-2024 11:10:42,2.226s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:10:44,04-10-2024 11:10:44,0.000s,PASSED
