Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 136.0.0.0,,,26-05-2025 09:44:44,26-05-2025 09:45:46,1m - 2.651s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 136.0.0.0,,,26-05-2025 09:44:44,26-05-2025 09:45:19,34.857s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:44:45,26-05-2025 09:45:14,29.061s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:45:14,26-05-2025 09:45:17,2.155s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:45:19,26-05-2025 09:45:19,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 136.0.0.0,,,26-05-2025 09:45:19,26-05-2025 09:45:46,27.663s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:45:19,26-05-2025 09:45:42,23.313s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:45:42,26-05-2025 09:45:44,2.146s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:45:46,26-05-2025 09:45:46,0.000s,PASSED
